subject_id,label,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
26398,0,0.41,-0.53,0.0,0.02,0.14,0.02,2.025,-1.22,1801.0,1.56,0.1,0.65,0.45999999999999996,2.4850000000000003,1.23,13.87,-8.28,2.0,0.55,1.96,0.53,1.02,3.575,1.4,0.475,181.70999999999998,0.01,10.49,4.970000000000001,14.18,201.05,15.98,3.085,5.27,0.02
26398,1,0.4,-0.59,0.0,0.03,0.165,0.03,2.58,-1.585,1559.5,1.9449999999999998,0.11,0.47,0.335,2.31,1.24,13.87,-8.68,2.0,0.56,1.88,0.53,1.0150000000000001,3.43,1.37,0.435,451.685,0.01,8.495000000000001,3.89,17.685000000000002,313.31,120.35,7.8,4.78,0.03
26502,0,0.865,-1.22,0.0,0.02,0.24,0.06,8.49,-2.5149999999999997,1781.0,1.67,0.13,0.48,0.275,2.3,1.13,13.87,-9.75,72.5,0.48,1.82,0.5,1.01,3.0149999999999997,1.46,0.49,259.15,0.02,16.520000000000003,5.029999999999999,24.27,589.115,9.59,2.62,5.21,0.06
26502,1,0.85,-1.21,0.0,0.03,0.24,0.06,9.625,-2.8049999999999997,1840.5,1.91,0.13,0.49,0.28,2.34,1.16,13.87,-9.715,103.0,0.5,1.77,0.51,1.02,3.0149999999999997,1.47,0.46,247.0,0.01,16.675,5.39,23.75,564.1500000000001,8.16,2.475,5.29,0.06
27245,0,0.93,-1.28,0.0,-0.06,0.58,0.34,-0.275,-0.535,516.5,0.9,0.47,0.32999999999999996,0.17,2.28,0.8200000000000001,13.87,-12.32,66.5,0.235,3.86,0.335,1.01,3.115,1.0550000000000002,0.7,2993.68,0.02,15.335,4.655,68.94,4753.030000000001,833.28,24.810000000000002,3.065,0.34
27245,1,0.92,-1.28,0.0,-0.07,0.6,0.36,-0.41,-0.52,470.0,0.91,0.49,0.27,0.14,2.32,0.8,13.87,-12.4,72.0,0.22,3.98,0.33,1.01,3.13,1.04,0.7,3526.34,0.03,15.43,5.01,71.97,5180.25,1170.07,29.08,2.82,0.36
57091,0,0.52,-0.525,0.0,0.0,0.12,0.01,5.0649999999999995,-0.32,1557.5,1.0950000000000002,0.07,0.505,0.375,2.2,1.31,13.87,-7.779999999999999,2.0,0.685,1.49,0.58,1.01,3.525,1.53,0.475,420.36,0.01,4.95,1.935,13.985,195.63,242.75,12.48,5.07,0.01
57091,1,0.47,-0.34,0.0,-0.01,0.1,0.01,7.3,0.91,1455.0,0.67,0.06,0.45,0.31,2.26,1.33,13.87,-7.15,2.0,0.72,1.44,0.59,1.01,3.47,1.53,0.37,238.01,0.01,4.69,1.86,10.98,120.6,87.46,7.46,5.2,0.01
59285,0,0.56,-0.63,0.0,0.01,0.2,0.04,0.745,-0.49,1070.5,1.065,0.15,0.5,0.42,1.96,1.04,13.87,-9.195,2.0,0.41,1.6949999999999998,0.46,1.01,3.5,1.3,0.52,953.715,0.01,6.215,1.66,23.494999999999997,552.005,561.06,19.835,4.295,0.04
59285,1,0.57,-0.575,0.0,0.0,0.19,0.03,0.88,-0.25,1119.5,0.97,0.14,0.5,0.42,1.98,1.03,13.87,-9.015,2.0,0.41,1.645,0.46,1.01,3.4850000000000003,1.31,0.52,775.035,0.01,5.605,1.315,22.060000000000002,486.78499999999997,469.64,18.325,4.395,0.03
70447,0,0.52,-0.56,0.0,0.0,0.15,0.02,0.66,-0.24,1336.0,1.05,0.12,0.52,0.46,2.01,1.24,13.87,-8.4,2.0,0.55,1.91,0.53,1.01,3.53,1.44,0.56,474.37,0.01,7.61,3.31,16.3,265.75,215.02,10.63,4.6,0.02
70447,1,0.47,-0.61,0.0,-0.01,0.19,0.04,1.19,-0.17,1384.0,0.88,0.13,0.39,0.39,1.84,1.14,13.87,-9.05,2.0,0.47,1.93,0.49,1.01,3.55,1.36,0.52,614.37,0.01,7.27,2.41,21.42,458.82,224.13,12.17,4.41,0.04
